"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"34240-9642","PG","Russell","Russell Westbrook","Westbrook","54.65714285714286","70","12000","DET@OKC","OKC","DET","","","","",""
"34240-9644","SG","James","James Harden","Harden","58.32236842105263","76","12000","NY@HOU","HOU","NY","","","","",""
"34240-15557","C","Andre","Andre Drummond","Drummond","46.3","75","10900","DET@OKC","DET","OKC","","","","",""
"34240-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","48.586843390213815","76","10700","MIA@MIN","MIN","MIA","","","","",""
"34240-40203","C","Rudy","Rudy Gobert","Gobert","41.92948717948718","78","10500","SAC@UTA","UTA","SAC","","","","",""
"34240-12341","SF","Paul","Paul George","George","49.075999348958334","75","10000","DET@OKC","OKC","DET","","","","",""
"34240-58460","SG","Devin","Devin Booker","Booker","40.7890625","64","9900","NO@PHO","PHO","NO","O","Ankle","","",""
"34240-55062","C","Nikola","Nikola Jokic","Jokic","46.69743464543269","78","9800","POR@DEN","DEN","POR","","","","",""
"34240-14514","C","Nikola","Nikola Vucevic","Vucevic","44.910125346123415","79","9700","ATL@ORL","ORL","ATL","","","","",""
"34240-66113","SG","Donovan","Donovan Mitchell","Mitchell","37.31066731770834","75","9700","SAC@UTA","UTA","SAC","","","","",""
"34240-9646","SF","Kevin","Kevin Durant","Durant","45.43421052631579","76","9500","CLE@GS","GS","CLE","","","","",""
"34240-9524","PG","Stephen","Stephen Curry","Curry","44.07761121152052","67","9400","CLE@GS","GS","CLE","","","","",""
"34240-20848","PG","Damian","Damian Lillard","Lillard","43.744873046875","78","9400","POR@DEN","POR","DEN","","","","",""
"34240-84669","SG","Luka","Luka Doncic","Doncic","39.984720865885414","72","9400","MEM@DAL","DAL","MEM","O","Thigh","","",""
"34240-12362","C","DeMarcus","DeMarcus Cousins","Cousins","37.38214111328125","28","9100","CLE@GS","GS","CLE","GTD","Rest","","",""
"34240-14498","PG","Kyrie","Kyrie Irving","Irving","43.942423502604164","66","9000","BOS@IND","BOS","IND","","","","",""
"34240-14507","PG","Kemba","Kemba Walker","Walker","41.56455819818038","79","9000","TOR@CHA","CHA","TOR","","","","",""
"34240-42669","PF","Julius","Julius Randle","Randle","37.56944444444444","72","9000","NO@PHO","NO","PHO","","","","",""
"34240-15595","SG","Bradley","Bradley Beal","Beal","43.873748779296875","80","8900","SA@WAS","WAS","SA","","","","",""
"34240-84671","PG","Trae","Trae Young","Young","35.002499389648435","80","8900","ATL@ORL","ATL","ORL","","","","",""
"34240-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","39.10632787776899","79","8800","SA@WAS","SA","WAS","","","","",""
"34240-55059","C","Clint","Clint Capela","Capela","39.0078125","64","8800","NY@HOU","HOU","NY","","","","",""
"34240-14503","C","Jonas","Jonas Valanciunas","Valanciunas","30.546939772002553","49","8700","MEM@DAL","MEM","DAL","O","Ankle","","",""
"34240-9623","PG","Chris","Chris Paul","Paul","37.51272638494318","55","8700","NY@HOU","HOU","NY","","","","",""
"34240-84709","C","Mitchell","Mitchell Robinson","Robinson","24.706452400453628","62","8700","NY@HOU","NY","HOU","","","","",""
"34240-14513","SF","Kawhi","Kawhi Leonard","Leonard","45.027587890625","58","8600","TOR@CHA","TOR","CHA","","","","",""
"34240-9560","PF","Blake","Blake Griffin","Griffin","41.50822051583904","73","8400","DET@OKC","DET","OKC","GTD","Knee","","",""
"34240-9575","PG","Mike","Mike Conley","Conley","37.9471435546875","70","8400","MEM@DAL","MEM","DAL","O","Ankle","","",""
"34240-9714","SG","DeMar","DeMar DeRozan","DeRozan","40.200000659839525","74","8300","SA@WAS","SA","WAS","","","","",""
"34240-67312","C","Thomas","Thomas Bryant","Bryant","22.779710852581523","69","8100","SA@WAS","WAS","SA","","","","",""
"34240-19067","SG","CJ","CJ McCollum","McCollum","32.55882352941177","68","8000","POR@DEN","POR","DEN","O","Knee","","",""
"34240-9739","C","JaVale","JaVale McGee","McGee","28.247222900390625","72","7900","LAL@LAC","LAL","LAC","","","","",""
"34240-9874","PF","Kevin","Kevin Love","Love","33.714285714285715","21","7900","CLE@GS","CLE","GS","GTD","Shoulder","","",""
"34240-58253","C","Myles","Myles Turner","Turner","33.611111111111114","72","7900","BOS@IND","IND","BOS","","","","",""
"34240-84673","C","Deandre","Deandre Ayton","Ayton","34.88055419921875","72","7800","NO@PHO","PHO","NO","O","Ankle","","",""
"34240-12351","PF","Derrick","Derrick Favors","Favors","27.71466796875","75","7700","SAC@UTA","UTA","SAC","O","Back","","",""
"34240-66236","PF","John","John Collins","Collins","34.55333251953125","60","7700","ATL@ORL","ATL","ORL","","","","",""
"34240-23447","PF","Richaun","Richaun Holmes","Holmes","19.574285016741072","70","7700","NO@PHO","PHO","NO","GTD","Ankle","","",""
"34240-60021","PF","Pascal","Pascal Siakam","Siakam","32.87012987012987","77","7600","TOR@CHA","TOR","CHA","","","","",""
"34240-80810","PG","De'Aaron","De'Aaron Fox","Fox","36.69746959058544","79","7600","SAC@UTA","SAC","UTA","","","","",""
"34240-14509","SG","Klay","Klay Thompson","Thompson","33.76578883120888","76","7500","CLE@GS","GS","CLE","","","","",""
"34240-9637","SF","Danilo","Danilo Gallinari","Gallinari","32.48333185369318","66","7500","LAL@LAC","LAC","LAL","","","","",""
"34240-80817","PF","Bam","Bam Adebayo","Adebayo","24.346153846153847","78","7500","MIA@MIN","MIA","MIN","","","","",""
"34240-23776","PF","Montrezl","Montrezl Harrell","Harrell","32.40000123615506","79","7400","LAL@LAC","LAC","LAL","","","","",""
"34240-9455","PG","Rajon","Rajon Rondo","Rondo","28.82000054253472","45","7400","LAL@LAC","LAL","LAC","","","","",""
"34240-15755","PF","Anthony","Anthony Davis","Davis","55.23859820449562","57","7400","NO@PHO","NO","PHO","GTD","Back","","",""
"34240-9453","C","Al","Al Horford","Horford","32.854543974905305","66","7300","BOS@IND","BOS","IND","GTD","Knee","","",""
"34240-66108","PG","Jamal","Jamal Murray","Murray","32.02777777777778","72","7300","POR@DEN","DEN","POR","","","","",""
