"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"34316-5481","P","Max","Max Scherzer","Scherzer","48","2","11900","WAS@PHI","WAS","PHI","","","","",""
"34316-16956","P","Gerrit","Gerrit Cole","Cole","44.5","2","11200","NYY@HOU","HOU","NYY","","","","",""
"34316-5202","P","Justin","Justin Verlander","Verlander","33.5","2","10700","NYY@HOU","HOU","NYY","","","","Yes",""
"34316-60647","P","Aaron","Aaron Nola","Nola","23","2","10700","WAS@PHI","PHI","WAS","","","","",""
"34316-21098","P","James","James Paxton","Paxton","33","2","10500","NYY@HOU","NYY","HOU","","","","",""
"34316-10978","P","Stephen","Stephen Strasburg","Strasburg","43.5","2","10100","WAS@PHI","WAS","PHI","","","","",""
"34316-73880","P","German","German Marquez","Marquez","46","2","10000","ATL@COL","COL","ATL","","","","",""
"34316-60644","P","Luis","Luis Severino","Severino","37.5","32","10000","NYY@HOU","NYY","HOU","IL","Shoulder","","",""
"34316-5427","P","Clayton","Clayton Kershaw","Kershaw","34.666666666666664","27","9800","LOS@STL","LOS","STL","IL","Shoulder","","",""
"34316-13664","P","Patrick","Patrick Corbin","Corbin","34","2","9800","WAS@PHI","WAS","PHI","","","","",""
"34316-52268","P","Masahiro","Masahiro Tanaka","Tanaka","38.5","2","9700","NYY@HOU","NYY","HOU","","","","Yes",""
"34316-37014","P","Hyun-Jin","Hyun-Jin Ryu","Ryu","29.666666666666668","3","9400","LOS@STL","LOS","STL","","","","Yes",""
"34316-79246","P","Jack","Jack Flaherty","Flaherty","15.333333333333334","3","9400","LOS@STL","STL","LOS","","","","",""
"34316-79168","P","Walker","Walker Buehler","Buehler","12","2","9300","LOS@STL","LOS","STL","","","","",""
"34316-38311","P","Ross","Ross Stripling","Stripling","27","2","9300","LOS@STL","LOS","STL","","","","",""
"34316-6311","P","Madison","Madison Bumgarner","Bumgarner","40","2","9200","SDP@SFG","SFG","SDP","","","","Yes",""
"34316-38272","P","Mike","Mike Foltynewicz","Foltynewicz","35.70967741935484","31","9100","ATL@COL","ATL","COL","IL","Elbow","","",""
"34316-79951","P","Nick","Nick Pivetta","Pivetta","19","2","8900","WAS@PHI","PHI","WAS","","","","",""
"34316-5983","P","Rich","Rich Hill","Hill","31.68","25","8800","LOS@STL","LOS","STL","IL","Knee","","",""
"34316-38164","P","Jimmy","Jimmy Nelson","Nelson","0","0","8700","MIL@LAA","MIL","LAA","IL","Shoulder","","",""
"34316-5767","P","J.A.","J.A. Happ","Happ","15.5","2","8700","NYY@HOU","NYY","HOU","","","","",""
"34316-23834","P","Collin","Collin McHugh","McHugh","36.5","2","8600","NYY@HOU","HOU","NYY","","","","",""
"34316-5885","P","Jhoulys","Jhoulys Chacin","Chacin","34","2","8600","MIL@LAA","MIL","LAA","","","","Yes",""
