"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"34047-85309","PG","Daryl","Daryl Macon","Macon","1.2","5","3500","DAL@OKC","DAL","OKC","","","","",""
"34047-9663","SG","Jrue","Jrue Holiday","Holiday","42.937314161613806","67","3500","LAL@NO","NO","LAL","O","Abdomen","","",""
"34047-15947","SG","Reggie","Reggie Bullock","Bullock","18.94098400678791","61","3500","LAL@NO","LAL","NO","GTD","Foot","","",""
"34047-14554","SF","E'Twaun","E'Twaun Moore","Moore","19.30943442290684","53","3500","LAL@NO","NO","LAL","O","Quadriceps","","",""
"34047-84699","SG","Hamidou","Hamidou Diallo","Diallo","8.140816201969068","49","3500","DAL@OKC","OKC","DAL","","","","",""
"34047-84833","PF","Ryan","Ryan Broekhoff","Broekhoff","6.2944446139865455","36","3500","DAL@OKC","DAL","OKC","","","","",""
"34047-15846","SG","Tim","Tim Hardaway Jr.","Hardaway Jr.","27.075384990985576","65","3500","DAL@OKC","DAL","OKC","O","Lower leg","","",""
"34047-18919","SG","Scott","Scott Machado","Machado","4.375","4","3500","LAL@NO","LAL","NO","","","","",""
"34047-84722","SF","Isaac","Isaac Bonga","Bonga","3.237499952316284","16","3500","LAL@NO","LAL","NO","","","","",""
"34047-85106","SG","Deonte","Deonte Burton","Burton","5.55517262425916","29","3500","DAL@OKC","OKC","DAL","","","","",""
"34047-84725","PF","Kostas","Kostas Antetokounmpo","Antetokounmpo","4.099999904632568","2","3500","DAL@OKC","DAL","OKC","","","","",""
"34047-16376","SF","Dorian","Dorian Finney-Smith","Finney-Smith","17.805333658854167","75","3500","DAL@OKC","DAL","OKC","","","","",""
"34047-9465","PG","Raymond","Raymond Felton","Felton","8.729629516601562","27","3500","DAL@OKC","OKC","DAL","","","","",""
"34047-66174","PG","Jawun","Jawun Evans","Evans","5.485714503696987","7","3500","DAL@OKC","OKC","DAL","","","","",""
