"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"34077-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","55.95999930245536","70","12400","MIL@BKN","MIL","BKN","GTD","Ankle","","",""
"34077-49111","C","Joel","Joel Embiid","Embiid","52.976190476190474","63","11600","PHI@DAL","PHI","DAL","O","Rest","","",""
"34077-58460","SG","Devin","Devin Booker","Booker","41.27257907006048","62","11500","CLE@PHO","PHO","CLE","","","","",""
"34077-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","48.568920238597975","74","11000","POR@MIN","MIN","POR","","","","",""
"34077-15557","C","Andre","Andre Drummond","Drummond","45.867123956549655","73","10700","DET@IND","DET","IND","","","","",""
"34077-40203","C","Rudy","Rudy Gobert","Gobert","41.76710590563322","76","10500","CHA@UTA","UTA","CHA","","","","",""
"34077-20848","PG","Damian","Damian Lillard","Lillard","43.87763093647204","76","10500","POR@MIN","POR","MIN","","","","",""
"34077-66115","PG","Ben","Ben Simmons","Simmons","42.461843390213815","76","10000","PHI@DAL","PHI","DAL","","","","",""
"34077-14498","PG","Kyrie","Kyrie Irving","Irving","44.217185974121094","64","9800","MIA@BOS","BOS","MIA","","","","",""
"34077-14513","SF","Kawhi","Kawhi Leonard","Leonard","45.31071254185268","56","9600","ORL@TOR","TOR","ORL","","","","",""
"34077-14514","C","Nikola","Nikola Vucevic","Vucevic","45.03506430093344","77","9600","ORL@TOR","ORL","TOR","","","","",""
"34077-58312","SG","D'Angelo","D'Angelo Russell","Russell","36.95844219257305","77","9600","MIL@BKN","BKN","MIL","","","","",""
"34077-84669","SG","Luka","Luka Doncic","Doncic","39.852112676056336","71","9400","PHI@DAL","DAL","PHI","GTD","Thigh","","",""
"34077-14507","PG","Kemba","Kemba Walker","Walker","41.311688311688314","77","9200","CHA@UTA","CHA","UTA","","","","",""
"34077-66113","SG","Donovan","Donovan Mitchell","Mitchell","37.112328098244866","73","9000","CHA@UTA","UTA","CHA","","","","",""
"34077-9560","PF","Blake","Blake Griffin","Griffin","41.50822051583904","73","8700","DET@IND","DET","IND","O","Knee","","",""
"34077-14528","SG","Jimmy","Jimmy Butler","Butler","37.73015873015873","63","8500","PHI@DAL","PHI","DAL","O","Back","","",""
"34077-58253","C","Myles","Myles Turner","Turner","33.490000697544644","70","8300","DET@IND","IND","DET","","","","",""
"34077-60021","PF","Pascal","Pascal Siakam","Siakam","32.94533203125","75","8000","ORL@TOR","TOR","ORL","","","","",""
