"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"34166-9644","SG","James","James Harden","Harden","58.51466796875","75","12400","HOU@LAC","HOU","LAC","","","","",""
"34166-49111","C","Joel","Joel Embiid","Embiid","52.976190476190474","63","11600","PHI@ATL","PHI","ATL","O","Rest","","",""
"34166-58460","SG","Devin","Devin Booker","Booker","41.285714285714285","63","11000","UTA@PHO","PHO","UTA","","","","",""
"34166-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","48.486666666666665","75","10800","MIN@DAL","MIN","DAL","","","","",""
"34166-15557","C","Andre","Andre Drummond","Drummond","45.98918852934966","74","10800","IND@DET","DET","IND","","","","",""
"34166-40203","C","Rudy","Rudy Gobert","Gobert","41.84934938108766","77","10500","UTA@PHO","UTA","PHO","","","","",""
"34166-55062","C","Nikola","Nikola Jokic","Jokic","46.76233702820617","77","10500","SA@DEN","DEN","SA","","","","",""
"34166-20848","PG","Damian","Damian Lillard","Lillard","43.74935001521916","77","10200","MEM@POR","POR","MEM","","","","",""
"34166-66115","PG","Ben","Ben Simmons","Simmons","42.41558441558441","77","9800","PHI@ATL","PHI","ATL","","","","",""
"34166-15595","SG","Bradley","Bradley Beal","Beal","43.988608831091774","79","9600","CHI@WAS","WAS","CHI","","","","",""
"34166-66113","SG","Donovan","Donovan Mitchell","Mitchell","37.233784443623314","74","9600","UTA@PHO","UTA","PHO","","","","",""
"34166-14514","C","Nikola","Nikola Vucevic","Vucevic","44.85641088241186","78","9500","NY@ORL","ORL","NY","","","","",""
"34166-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","39.18846091245994","78","9500","SA@DEN","SA","DEN","","","","",""
"34166-14498","PG","Kyrie","Kyrie Irving","Irving","44.13846153846154","65","9400","BOS@MIA","BOS","MIA","","","","",""
"34166-84669","SG","Luka","Luka Doncic","Doncic","39.852112676056336","71","9400","MIN@DAL","DAL","MIN","","","","",""
"34166-58312","SG","D'Angelo","D'Angelo Russell","Russell","37.01666729266827","78","9300","TOR@BKN","BKN","TOR","","","","",""
"34166-84709","C","Mitchell","Mitchell Robinson","Robinson","24.491803278688526","61","9200","NY@ORL","NY","ORL","","","","",""
"34166-14513","SF","Kawhi","Kawhi Leonard","Leonard","45.11052717242325","57","9100","TOR@BKN","TOR","BKN","","","","",""
"34166-84671","PG","Trae","Trae Young","Young","34.68101327630538","79","9100","PHI@ATL","ATL","PHI","","","","",""
"34166-14507","PG","Kemba","Kemba Walker","Walker","41.48076923076923","78","9000","CHA@NO","CHA","NO","","","","",""
"34166-55059","C","Clint","Clint Capela","Capela","38.87301587301587","63","9000","HOU@LAC","HOU","LAC","","","","",""
"34166-14503","C","Jonas","Jonas Valanciunas","Valanciunas","30.546939772002553","49","8800","MEM@POR","MEM","POR","O","Ankle","","",""
"34166-9560","PF","Blake","Blake Griffin","Griffin","41.50822051583904","73","8700","IND@DET","DET","IND","GTD","Knee","","",""
