,c,pf1,pf2,sf1,sf2,sg1,sg2,pg1,pg2,points,salary
44,DeAndre Jordan,Kenneth Faried,PJ Tucker,Kevin Durant,Jeff Green,Kent Bazemore,James Harden,Chris Paul,Stephen Curry,307.2801838300567,60000
45,Willie Cauley-Stein,Montrezl Harrell,Kenneth Faried,Jeff Green,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,307.2548516334077,59900
46,DeAndre Jordan,Kenneth Faried,Marcus Morris,Will Barton,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,307.2512388046432,59800
47,Willie Cauley-Stein,Marcus Morris,PJ Tucker,Jeff Green,Kevin Durant,Kent Bazemore,James Harden,Kyrie Irving,Chris Paul,307.1642057186109,60000
48,Willie Cauley-Stein,PJ Tucker,Draymond Green,Nemanja Bjelica,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,307.16087905853794,60000
49,DeAndre Jordan,Kenneth Faried,Marcus Morris,Nemanja Bjelica,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,307.1285721786666,59300
50,DeAndre Jordan,PJ Tucker,Marcus Morris,Taurean Prince,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,307.10712696981125,60000
51,DeAndre Jordan,Marcus Morris,Kenneth Faried,Kevin Durant,Gary Harris,James Harden,Kent Bazemore,Eric Bledsoe,Stephen Curry,307.0946316330733,59700
52,Willie Cauley-Stein,Bobby Portis,Marcus Morris,Kevin Durant,Nemanja Bjelica,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,307.0762287679886,59700
53,Willie Cauley-Stein,Marcus Morris,Kenneth Faried,Harrison Barnes,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,307.0539261221088,59700
54,DeAndre Jordan,Kenneth Faried,PJ Tucker,Kevin Durant,Nemanja Bjelica,Bradley Beal,James Harden,De'Anthony Melton,Kyrie Irving,306.980151173164,60000
55,DeAndre Jordan,Marcus Morris,Kenneth Faried,Jeff Green,Kevin Durant,James Harden,Bradley Beal,Tim Frazier,Kyrie Irving,306.9788728554851,60000
56,DeAndre Jordan,Marcus Morris,PJ Tucker,Will Barton,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,306.969015293901,60000
57,DeAndre Jordan,Kenneth Faried,Marcus Morris,Nemanja Bjelica,Kevin Durant,Kent Bazemore,James Harden,Damian Lillard,Eric Bledsoe,306.95590820731,59600
58,DeAndre Jordan,Bobby Portis,Kenneth Faried,Taurean Prince,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.91811026105813,60000
59,Willie Cauley-Stein,Bobby Portis,Marcus Morris,Kevin Durant,Nemanja Bjelica,Bradley Beal,Kent Bazemore,Stephen Curry,Damian Lillard,306.90356479663194,60000
60,DeAndre Jordan,Kenneth Faried,Marvin Bagley III,Nemanja Bjelica,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.89291899063477,59700
61,DeAndre Jordan,Kenneth Faried,PJ Tucker,Harrison Barnes,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Stephen Curry,306.88768072281243,59900
62,Willie Cauley-Stein,Marcus Morris,Kenneth Faried,Harrison Barnes,Kevin Durant,Kent Bazemore,James Harden,Damian Lillard,Eric Bledsoe,306.88126215075215,60000
63,Willie Cauley-Stein,Draymond Green,Kenneth Faried,Gary Harris,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.8742871034236,60000
64,DeAndre Jordan,Marcus Morris,PJ Tucker,Nemanja Bjelica,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,306.8463486679244,59500
65,DeAndre Jordan,PJ Tucker,Marcus Morris,Kevin Durant,Gary Harris,James Harden,Kent Bazemore,Eric Bledsoe,Stephen Curry,306.8124081223311,59900
66,DeAndre Jordan,Marcus Morris,Al-Farouq Aminu,Harrison Barnes,Kevin Durant,Kent Bazemore,Bradley Beal,Damian Lillard,Kyrie Irving,306.7848449898228,59300
67,DeAndre Jordan,Kenneth Faried,Bobby Portis,Kevin Durant,Will Barton,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.7799985851479,60000
68,Willie Cauley-Stein,PJ Tucker,Marcus Morris,Harrison Barnes,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,306.7717026113666,59900
69,DeAndre Jordan,Kenneth Faried,PJ Tucker,Kevin Durant,Jeff Green,Kent Bazemore,James Harden,Kyrie Irving,Chris Paul,306.7453089097936,59800
70,Willie Cauley-Stein,Kenneth Faried,Draymond Green,Kevin Durant,Nemanja Bjelica,Kent Bazemore,Bradley Beal,Damian Lillard,Kyrie Irving,306.73556367766037,59900
71,DeAndre Jordan,Kenneth Faried,Marvin Bagley III,Nemanja Bjelica,Kevin Durant,Bradley Beal,Kent Bazemore,Stephen Curry,Damian Lillard,306.7202550192781,60000
72,DeAndre Jordan,Marcus Morris,PJ Tucker,Nemanja Bjelica,Kevin Durant,Kent Bazemore,James Harden,Damian Lillard,Eric Bledsoe,306.6736846965678,59800
73,DeAndre Jordan,Bobby Portis,Kenneth Faried,Kevin Durant,Nemanja Bjelica,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.6573319591713,59500
74,DeAndre Jordan,Montrezl Harrell,Marcus Morris,Wilson Chandler,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.65634685051504,60000
75,Willie Cauley-Stein,Jayson Tatum,Kenneth Faried,Kevin Durant,Nemanja Bjelica,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.650776619913,59700
76,DeAndre Jordan,PJ Tucker,Marvin Bagley III,Kevin Durant,Nemanja Bjelica,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.61069547989257,59900
77,Willie Cauley-Stein,Marcus Morris,Marvin Bagley III,Nemanja Bjelica,Kevin Durant,Kent Bazemore,Bradley Beal,Damian Lillard,Kyrie Irving,306.6042769078323,60000
78,Willie Cauley-Stein,Kenneth Faried,Bobby Portis,Kevin Durant,Harrison Barnes,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.58268590261343,59900
79,DeAndre Jordan,Marcus Morris,Montrezl Harrell,Kevin Durant,Harrison Barnes,Klay Thompson,Kent Bazemore,Kyrie Irving,Stephen Curry,306.5736517899901,59900
80,DeAndre Jordan,Marcus Morris,Trey Lyles,Nemanja Bjelica,Kevin Durant,James Harden,Alec Burks,Stephen Curry,Kyrie Irving,306.5660966542214,59900
81,Willie Cauley-Stein,PJ Tucker,Kenneth Faried,Nemanja Bjelica,Kevin Durant,Khris Middleton,Bradley Beal,Stephen Curry,Kyrie Irving,306.56573822300373,60000
82,DeAndre Jordan,Marcus Morris,Kenneth Faried,Kevin Durant,Gary Harris,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,306.55975671281016,59500
83,Willie Cauley-Stein,Montrezl Harrell,Kenneth Faried,Jeff Green,Kevin Durant,Kent Bazemore,Bradley Beal,Damian Lillard,Kyrie Irving,306.547312741788,60000
84,Willie Cauley-Stein,Marcus Morris,Bobby Portis,Kevin Durant,Gary Harris,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.50741330213214,59900
85,DeAndre Jordan,Marcus Morris,Kenneth Faried,Jeff Green,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Stephen Curry,306.49144677340894,59600
86,DeAndre Jordan,Bobby Portis,Kenneth Faried,Kevin Durant,Nemanja Bjelica,Bradley Beal,Kent Bazemore,Stephen Curry,Damian Lillard,306.48466798781465,59800
87,Willie Cauley-Stein,Jayson Tatum,Kenneth Faried,Kevin Durant,Nemanja Bjelica,Bradley Beal,Kent Bazemore,Stephen Curry,Damian Lillard,306.47811264855636,60000
88,DeAndre Jordan,Marcus Morris,Kenneth Faried,Harrison Barnes,Kevin Durant,Kent Bazemore,James Harden,Stephen Curry,Elfrid Payton,306.41021182610524,59500
89,DeAndre Jordan,Marcus Morris,Kenneth Faried,Kevin Durant,Gary Harris,Kent Bazemore,James Harden,Damian Lillard,Eric Bledsoe,306.38709274145356,59800
90,DeAndre Jordan,PJ Tucker,Bobby Portis,Kevin Durant,Nemanja Bjelica,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.37510844842916,59700
91,Willie Cauley-Stein,Bobby Portis,Marcus Morris,Kevin Durant,Nemanja Bjelica,Kent Bazemore,Bradley Beal,Damian Lillard,Kyrie Irving,306.3686898763688,59800
92,Willie Cauley-Stein,Jayson Tatum,PJ Tucker,Kevin Durant,Nemanja Bjelica,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.3685531091709,59900
93,DeAndre Jordan,Marcus Morris,Trey Lyles,Nemanja Bjelica,Kevin Durant,Kent Bazemore,James Harden,Chris Paul,Stephen Curry,306.3652518283529,59800
94,DeAndre Jordan,Kenneth Faried,PJ Tucker,Harrison Barnes,Kevin Durant,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,306.3528058025493,59700
95,DeAndre Jordan,Marvin Bagley III,Kenneth Faried,Kevin Durant,Gary Harris,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.3241035247783,59900
96,DeAndre Jordan,PJ Tucker,Marcus Morris,Kevin Durant,Gary Harris,James Harden,Kent Bazemore,Eric Bledsoe,Kyrie Irving,306.27753320206796,59700
97,Willie Cauley-Stein,Kenneth Faried,Draymond Green,Jeff Green,Kevin Durant,Bradley Beal,Kent Bazemore,Kyrie Irving,Stephen Curry,306.2711022437593,59900
