"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"34046-55062","C","Nikola","Nikola Jokic","Jokic","46.89199869791667","75","10400","WAS@DEN","DEN","WAS","","","","",""
"34046-9646","SF","Kevin","Kevin Durant","Durant","46.04520614833048","73","10100","CHA@GS","GS","CHA","","","","",""
"34046-9524","PG","Stephen","Stephen Curry","Curry","44.381248474121094","64","9800","CHA@GS","GS","CHA","","","","",""
"34046-14507","PG","Kemba","Kemba Walker","Walker","41.59605327405428","76","9600","CHA@GS","CHA","GS","","","","",""
"34046-15595","SG","Bradley","Bradley Beal","Beal","44.080769856770836","78","9600","WAS@DEN","WAS","DEN","","","","",""
"34046-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","38.913156609786185","76","9200","SAC@SA","SA","SAC","","","","",""
"34046-80810","PG","De'Aaron","De'Aaron Fox","Fox","37.05657958984375","76","9100","SAC@SA","SAC","SA","","","","",""
"34046-9714","SG","DeMar","DeMar DeRozan","DeRozan","40.370423222931336","71","8900","SAC@SA","SA","SAC","","","","",""
"34046-12362","C","DeMarcus","DeMarcus Cousins","Cousins","36.9","25","8800","CHA@GS","GS","CHA","","","","",""
"34046-14503","C","Jonas","Jonas Valanciunas","Valanciunas","30.7687505086263","48","8500","MEM@LAC","MEM","LAC","","","","",""
"34046-9575","PG","Mike","Mike Conley","Conley","37.9471435546875","70","8400","MEM@LAC","MEM","LAC","","","","",""
"34046-9662","SG","Lou","Lou Williams","Williams","32.09285714285714","70","7600","MEM@LAC","LAC","MEM","","","","",""
"34046-23776","PF","Montrezl","Montrezl Harrell","Harrell","32.489609755478895","77","7600","MEM@LAC","LAC","MEM","","","","",""
"34046-9637","SF","Danilo","Danilo Gallinari","Gallinari","32.392189025878906","64","7500","MEM@LAC","LAC","MEM","GTD","Ankle","","",""
"34046-84679","PF","Marvin","Marvin Bagley III","Bagley III","28.18103448275862","58","7400","SAC@SA","SAC","SA","","","","",""
"34046-66108","PG","Jamal","Jamal Murray","Murray","31.979711560235508","69","7300","WAS@DEN","DEN","WAS","","","","",""
"34046-23665","SG","Buddy","Buddy Hield","Hield","32.11710397820724","76","7300","SAC@SA","SAC","SA","","","","",""
"34046-14509","SG","Klay","Klay Thompson","Thompson","34.23835482662671","73","7300","CHA@GS","GS","CHA","","","","",""
"34046-9729","PF","Paul","Paul Millsap","Millsap","29.220312118530273","64","7200","WAS@DEN","DEN","WAS","","","","",""
"34046-67312","C","Thomas","Thomas Bryant","Bryant","22.02388023262593","67","7000","WAS@DEN","WAS","DEN","","","","",""
"34046-15860","PF","Draymond","Draymond Green","Green","31.205000813802084","60","6800","CHA@GS","GS","CHA","","","","",""
"34046-23823","C","Willie","Willie Cauley-Stein","Cauley-Stein","30.51578883120888","76","6700","SAC@SA","SAC","SA","","","","",""
"34046-42156","PF","Bobby","Bobby Portis","Portis","27.931111653645832","45","6700","WAS@DEN","WAS","DEN","","","","",""
"34046-42550","SF","Jabari","Jabari Parker","Parker","27.309676631804436","62","6400","WAS@DEN","WAS","DEN","","","","",""
"34046-49675","PG","Derrick","Derrick White","White","23.891803678919057","61","6200","SAC@SA","SA","SAC","","","","",""
"34046-12334","SG","Avery","Avery Bradley","Bradley","18.174603174603174","63","6100","MEM@LAC","MEM","LAC","GTD","Lower leg","","",""
"34046-9577","SF","Rudy","Rudy Gay","Gay","28.325396825396826","63","6100","SAC@SA","SA","SAC","","","","",""
"34046-40830","SG","Delon","Delon Wright","Wright","19.502897843070652","69","6000","MEM@LAC","MEM","LAC","","","","",""
"34046-84680","PG","Shai","Shai Gilgeous-Alexander","Gilgeous-Alexander","22.334615071614582","78","6000","MEM@LAC","LAC","MEM","","","","",""
"34046-23097","PG","Tomas","Tomas Satoransky","Satoransky","22.702666015625","75","5900","WAS@DEN","WAS","DEN","","","","",""
"34046-55058","SF","Bruno","Bruno Caboclo","Caboclo","17.37857164655413","28","5800","MEM@LAC","MEM","LAC","","","","",""
"34046-12474","PG","Patrick","Patrick Beverley","Beverley","22.56052599455181","76","5600","MEM@LAC","LAC","MEM","","","","",""
"34046-15691","C","Cody","Cody Zeller","Zeller","25.022448481345663","49","5500","CHA@GS","CHA","GS","O","Knee","","",""
"34046-84678","SF","Miles","Miles Bridges","Bridges","16.5123291015625","73","5500","CHA@GS","CHA","GS","","","","",""
"34046-66061","SG","Dwayne","Dwayne Bacon","Bacon","11.561111450195312","36","5400","CHA@GS","CHA","GS","","","","",""
"34046-15559","SG","Jeremy","Jeremy Lamb","Lamb","28.08472188313802","72","5400","CHA@GS","CHA","GS","","","","",""
"34046-55060","SG","Bogdan","Bogdan Bogdanovic","Bogdanovic","26.36769268329327","65","5200","SAC@SA","SAC","SA","","","","",""
"34046-9538","SF","Trevor","Trevor Ariza","Ariza","27.771013785099637","69","5200","WAS@DEN","WAS","DEN","O","Groin","","",""
"34046-15946","SF","Harrison","Harrison Barnes","Barnes","25.821127448283452","71","5200","SAC@SA","SAC","SA","","","","",""
"34046-70827","C","Ivica","Ivica Zubac","Zubac","19.372221770109952","54","5100","MEM@LAC","LAC","MEM","","","","",""
"34046-17333","SF","Will","Will Barton","Barton","23.666666666666668","36","5100","WAS@DEN","DEN","WAS","","","","",""
"34046-16604","SG","Justin","Justin Holiday","Holiday","21.93289505807977","76","5100","MEM@LAC","MEM","LAC","","","","",""
"34046-16448","PF","Frank","Frank Kaminsky","Kaminsky","14.014999389648438","40","5000","CHA@GS","CHA","GS","","","","",""
"34046-12368","SF","Nemanja","Nemanja Bjelica","Bjelica","23.083098935409332","71","5000","SAC@SA","SAC","SA","GTD","Illness","","",""
"34046-58378","C","Jakob","Jakob Poeltl","Poeltl","16.743662659551056","71","4900","SAC@SA","SA","SAC","","","","",""
"34046-9483","C","Joakim","Joakim Noah","Noah","19.526189894903276","42","4800","MEM@LAC","MEM","LAC","GTD","Knee","","",""
"34046-24544","SF","Gary","Gary Harris","Harris","22.91","50","4800","WAS@DEN","DEN","WAS","","","","",""
"34046-15590","C","Mason","Mason Plumlee","Plumlee","23.149332682291668","75","4800","WAS@DEN","DEN","WAS","","","","",""
"34046-9451","PF","Marvin","Marvin Williams","Williams","23.323287336793666","73","4700","CHA@GS","CHA","GS","","","","",""
"34046-67556","SG","Tyler","Tyler Dorsey","Dorsey","9.773809523809524","42","4500","MEM@LAC","MEM","LAC","","","","",""
"34046-14537","SF","Chandler","Chandler Parsons","Parsons","13.15","20","4400","MEM@LAC","MEM","LAC","GTD","Illness","","",""
"34046-84668","SF","Troy","Troy Brown Jr.","Brown Jr.","10.03191489361702","47","4300","WAS@DEN","WAS","DEN","","","","",""
"34046-63127","C","Willy","Willy Hernangomez","Hernangomez","16.16603750552771","53","4200","CHA@GS","CHA","GS","","","","",""
"34046-9648","SF","Jeff","Jeff Green","Green","21.69324390308277","74","4200","WAS@DEN","WAS","DEN","","","","",""
