"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"33887-9642","PG","Russell","Russell Westbrook","Westbrook","54.18636437618371","66","11200","IND@OKC","OKC","IND","","","","",""
"33887-9488","SF","LeBron","LeBron James","James","52.06363636363636","55","11000","LAL@UTA","LAL","UTA","O","Rest","","",""
"33887-20848","PG","Damian","Damian Lillard","Lillard","44.05205546339897","73","11000","POR@CHI","POR","CHI","","","","",""
"33887-58460","SG","Devin","Devin Booker","Booker","40.46333414713542","60","10700","WAS@PHO","PHO","WAS","","","","",""
"33887-12341","SF","Paul","Paul George","George","49.376055650308096","71","10400","IND@OKC","OKC","IND","","","","",""
"33887-40203","C","Rudy","Rudy Gobert","Gobert","41.58378312394426","74","10000","LAL@UTA","UTA","LAL","","","","",""
"33887-15595","SG","Bradley","Bradley Beal","Beal","44.04342169510691","76","10000","WAS@PHO","WAS","PHO","","","","",""
"33887-9646","SF","Kevin","Kevin Durant","Durant","45.91690278389085","71","9400","GS@MEM","GS","MEM","","","","",""
"33887-9524","PG","Stephen","Stephen Curry","Curry","44.077420142389116","62","9300","GS@MEM","GS","MEM","","","","",""
"33887-66113","SG","Donovan","Donovan Mitchell","Mitchell","37.22394228653169","71","9000","LAL@UTA","UTA","LAL","","","","",""
"33887-9575","PG","Mike","Mike Conley","Conley","37.82058895335478","68","9000","GS@MEM","MEM","GS","","","","",""
"33887-12362","C","DeMarcus","DeMarcus Cousins","Cousins","36.56087062669837","23","8600","GS@MEM","GS","MEM","","","","",""
"33887-14503","C","Jonas","Jonas Valanciunas","Valanciunas","29.430435844089676","46","8400","GS@MEM","MEM","GS","","","","",""
"33887-84673","C","Deandre","Deandre Ayton","Ayton","34.95428641183036","70","8300","WAS@PHO","PHO","WAS","","","","",""
"33887-19067","SG","CJ","CJ McCollum","McCollum","32.55882352941177","68","8000","POR@CHI","POR","CHI","O","Knee","","",""
"33887-14509","SG","Klay","Klay Thompson","Thompson","34.581690828565144","71","7900","GS@MEM","GS","MEM","","","","",""
"33887-58253","C","Myles","Myles Turner","Turner","33.31940152751866","67","7700","IND@OKC","IND","OKC","","","","",""
"33887-9739","C","JaVale","JaVale McGee","McGee","27.791044776119403","67","7500","LAL@UTA","LAL","UTA","","","","",""
"33887-12351","PF","Derrick","Derrick Favors","Favors","27.901370531892123","73","7400","LAL@UTA","UTA","LAL","","","","",""
"33887-80812","PF","Lauri","Lauri Markkanen","Markkanen","34.05471744177476","53","7300","POR@CHI","CHI","POR","O","Illness","","",""
"33887-40783","SG","Zach","Zach LaVine","LaVine","36.70317537822421","63","7100","POR@CHI","CHI","POR","O","Thigh","","",""
"33887-58153","SF","Kelly","Kelly Oubre Jr.","Oubre Jr.","27.3768115942029","69","6900","WAS@PHO","PHO","WAS","O","Thumb","","",""
"33887-23097","PG","Tomas","Tomas Satoransky","Satoransky","22.610958569670377","73","6900","WAS@PHO","WAS","PHO","","","","",""
"33887-14496","PG","Ricky","Ricky Rubio","Rubio","28.131250381469727","64","6800","LAL@UTA","UTA","LAL","","","","",""
"33887-15860","PF","Draymond","Draymond Green","Green","31.058621110587286","58","6800","GS@MEM","GS","MEM","","","","",""
"33887-15628","SF","Otto","Otto Porter Jr.","Porter Jr.","28.764286586216517","56","6700","POR@CHI","CHI","POR","O","Shoulder","","",""
"33887-67312","C","Thomas","Thomas Bryant","Bryant","21.46769268329327","65","6700","WAS@PHO","WAS","PHO","","","","",""
"33887-9624","PG","Darren","Darren Collison","Collison","27.1535214706206","71","6600","IND@OKC","IND","OKC","","","","",""
"33887-59318","SF","Joe","Joe Ingles","Ingles","26.993243243243242","74","6600","LAL@UTA","UTA","LAL","","","","",""
"33887-42550","SF","Jabari","Jabari Parker","Parker","26.93166707356771","60","6500","WAS@PHO","WAS","PHO","","","","",""
"33887-42156","PF","Bobby","Bobby Portis","Portis","27.24418604651163","43","6500","WAS@PHO","WAS","PHO","","","","",""
"33887-14516","C","Enes","Enes Kanter","Kanter","27.967796196371822","59","6500","POR@CHI","POR","CHI","","","","",""
"33887-9455","PG","Rajon","Rajon Rondo","Rondo","27.672500610351562","40","6500","LAL@UTA","LAL","UTA","","","","",""
"33887-14530","SF","Bojan","Bojan Bogdanovic","Bogdanovic","26.56756756756757","74","6400","IND@OKC","IND","OKC","","","","",""
"33887-58377","PF","Kyle","Kyle Kuzma","Kuzma","30.36376953125","69","6300","LAL@UTA","LAL","UTA","","","","",""
"33887-23169","C","Steven","Steven Adams","Adams","33.25","72","6300","IND@OKC","OKC","IND","","","","",""
"33887-59358","PF","Domantas","Domantas Sabonis","Sabonis","30.591046233675375","67","6300","IND@OKC","IND","OKC","","","","",""
"33887-40830","SG","Delon","Delon Wright","Wright","19.15970076375933","67","6200","GS@MEM","MEM","GS","","","","",""
"33887-9660","C","Dwight","Dwight Howard","Howard","26.400000678168404","9","6200","WAS@PHO","WAS","PHO","O","Back","","",""
"33887-9666","PF","Thaddeus","Thaddeus Young","Young","28.58783783783784","74","6200","IND@OKC","IND","OKC","","","","",""
"33887-12334","SG","Avery","Avery Bradley","Bradley","18.174603174603174","63","6100","GS@MEM","MEM","GS","O","Lower leg","","",""
"33887-40201","SG","Dennis","Dennis Schroder","Schroder","26.898592237015844","71","5900","IND@OKC","OKC","IND","","","","",""
"33887-84683","PF","Jaren","Jaren Jackson Jr.","Jackson Jr.","26.205084331965043","59","5700","GS@MEM","MEM","GS","O","Thigh","","",""
"33887-23802","PG","Kris","Kris Dunn","Dunn","28.73695705247962","46","5700","POR@CHI","CHI","POR","O","Back","","",""
"33887-23831","PF","Jerami","Jerami Grant","Grant","26.369444105360245","72","5500","IND@OKC","OKC","IND","","","","",""
"33887-84670","SF","Mikal","Mikal Bridges","Bridges","20.38","75","5500","WAS@PHO","PHO","WAS","","","","",""
"33887-15636","SG","Kentavious","Kentavious Caldwell-Pope","Caldwell-Pope","17.722972972972972","74","5400","LAL@UTA","LAL","UTA","","","","",""
"33887-16178","SF","Maurice","Maurice Harkless","Harkless","19.357691838191105","52","5400","POR@CHI","POR","CHI","","","","",""
"33887-80809","PF","Josh","Josh Jackson","Jackson","21.871232542273116","73","5400","WAS@PHO","PHO","WAS","O","Ankle","","",""
"33887-9538","SF","Trevor","Trevor Ariza","Ariza","27.771013785099637","69","5200","WAS@PHO","WAS","PHO","O","Groin","","",""
"33887-9873","C","Robin","Robin Lopez","Lopez","17.80298580340485","67","5200","POR@CHI","CHI","POR","","","","",""
"33887-18600","PG","Tyler","Tyler Johnson","Johnson","21.78245571203399","57","5200","WAS@PHO","PHO","WAS","O","Knee","","",""
"33887-15800","SF","Jae","Jae Crowder","Crowder","22.831506180436644","73","5200","LAL@UTA","UTA","LAL","","","","",""
